at21,4X ACOG Scope,Upper Rail (Scope),"UMP9, AKM, M16A4, M416, SCAR-L, SKS, S12K, M249, Kar98k, M24, AWM, KRISS Vector, Groza, SKS, Mk14 EBR?, Mini 14, DP-28, AUG A3, SLR, Crossbow, QBZ95, QBU, Beryl M762, Mk47, G36C, MP5K",Suitable for mid range combat.
at22,6X Scope,Upper Rail (Scope),"Crossbow, UMP45, AKM, M16A4, M416, SCAR-L, SKS, S12K, M249, Kar98k, M24, AWM, KRISS Vector, OTs-14 Groza, Mk14 EBR?, Mini 14, DP-28, AUG A3, SLR, QBZ95, QBU, Beryl M762, Mk47, G36C, MP5K ",Suitable for mid to long range combat.
at23,8X CQBSS Scope,Upper Rail (Scope),"SKS, Kar98k, M24, AWM, Mk14 EBR?, Mini 14, SLR, QBU",Suitable for long range combat. 
at24,Canted Sight,Upper Rail (Scope),"Beryl M762, AWM, AUG A3, M416,Mk47 Mutant, QBZ, SCAR-L, G36C, SLR, Mini 14, Mk14 EBR?, QBU, SKS, AWM, M24, Kar98k, UMP9, KRISS Vector, PP-19 Bizon??, S12K, M249, MP5K",Suitable for close range combat.
at25,Holographic Sight,Upper Rail (Scope),"AKM, AUG A3, AWM, Beryl M762, Crossbow, DP-28, G36C, Groza, Kar98k, M16A4, M249, M24, M416, MP5K, Mini 14, Mk14 EBR, Mk47 Mutant, P18C, P1911, P92, PP-19 Bizon, QBU, QBZ95, R45, S12K, SCAR-L, SKS, SLR, Skorpion, UMP9, Vector, MP5K, Deagle?, Micro UZI",Suitable for close range combat.
at26,Red Dot Sight,Upper Rail (Scope),"UMP45, AKM, M16A4, M416, SCAR-L, S12K, M249, Kar98k, M24, AWM, SKS, Crossbow, Vector, Groza, P18C, P1911, P92, Mk14 EBR?, Mini 14, DP-28, AUG A3, R45, SLR, QBZ95, QBU, Beryl M762, Mk47, Skorpion, G36C, MP5K, Deagle?, Micro UZI",Suitable for close range combat.
at27,"Extended Mag(AR, DMR, S12K)",Magazine,"AKM, M16A4, M416, SCAR-L, S12K, Groza, AUG A3, SLR, SKS, Mini 14, Mk14 EBR, QBZ95, QBU, Beryl M762, Mk47, G36C ",Increases magazine Capacity.
at28,"Extended Mag(DMG, SR)",Magazine,"M24, AWM, SKS, VSS, Mk14 EBR?, Mini 14?, SLR, QBU",Increases magazine Capacity.
at29,"Extended Mag(Handgun, SMG)",Magazine,"MP5K, Micro UZI, P18C, P1911, P92, Skorpion, Tommy Gun, UMP45, Vector, MP5K, Deagle?",Increases magazine Capacity.
at30,"Extended Quickdraw Mag(AR, DMR, S12K)",Magazine,"AKM, M16A4, M416, SCAR-L, S12K, Groza, AUG A3, SLR, SKS, Mini 14, Mk14 EBR, QBZ95, QBU, Beryl M762, Mk47, G36C ",Increases magazine Capacity and also reduces Reloading Speed.
at31,"Extended Quickdraw Mag(DMR, SR)",Magazine,"M24, AWM, SKS, VSS, Mk14 EBR?, Mini 14, SLR, QBU",Increases magazine Capacity and also reduces Reloading Speed.
at32,"Extended Quickdraw Mag(Handgun, SMG)",Magazine,"MP5K, Micro UZI, P18C, P1911, P92, Tommy Gun, UMP45, Vector, MP5K, Skorpion",Increases magazine Capacity and also reduces Reloading Speed.
at33,"Quickdraw Mag(AR, DMR, S12K)",Magazine,"AKM, M16A4, M416, SCAR-L, S12K, Groza, AUG A3, SLR, SKS, Mini 14, Mk14 EBR, QBZ95, QBU, Beryl M762, Mk47, G36C",Reduces Reloading Speed.
at34,"Quickdraw Mag(DMR, SR)",Magazine,"M24, AWM, SKS, VSS, Mk14 EBR?, Mini 14?, SLR, QBU",Reduces Reloading Speed.
at35,"Quickdraw Mag(Handgun, SMG)",Magazine,"MP5K, Micro UZI, P18C, P1911, P92, Tommy Gun, UMP45, Vector, MP5K",Reduces Reloading Speed.
at36,"Bullet Loops(SG, Win94, Kar98k)",Stock,"S1897, S686, Kar98k, Win94",Is for Shotguns and Kar98k Sniper. it helps you to increase reloading speed.
at37,"Cheek Pad(DMR, SR)",Stock,"M24, AWM, Kar98k, SKS, VSS, Mk14 EBR, SLR",Is for Designated Marksman Rifle(DMR) & Sniper Rifle(SR).this stock helps you on reducing vertical recoil.
at38,Stock for Micro UZI,Stock,"Micro UZI, Skorpion",Is only available for Micro Uzi & Scorpion gun. it increases stability & little Aim Accuracy.
at39,Tactical Stock,Stock,"M416, Vector, MP5K",Reduces little recoil and increases little Aim Accuracy. It can attach to some Assault Rifle & SMG guns.
